sgRNA_id gene_id list adjusted_ratio
p60878730 ADRM1 list 0.949586
m44144289 AEBP1 list 0.893116
m44144302 AEBP1 list 1.099053
m44144319 AEBP1 list 0.358235
m44144326 AEBP1 list -0.339874
m44144338 AEBP1 list -1.501646
m44144355 AEBP1 list -0.617878
p44144293 AEBP1 list 0.770536
p44144306 AEBP1 list -1.170301
p44144347 AEBP1 list 0.440364
p44144359 AEBP1 list 1.419313
m19615484 AEBP2 list 0.456183
m19615553 AEBP2 list -0.183803
m19615572 AEBP2 list 0.117269
m19615578 AEBP2 list -0.627414
p19615440 AEBP2 list 0.612241
p19615465 AEBP2 list -0.154484
p19615492 AEBP2 list 1.408200
p19615498 AEBP2 list 0.534229
p19615544 AEBP2 list -0.014008
p19615557 AEBP2 list -0.824716
m89169460 AEN list -0.535925
m89169478 AEN list -3.478955
m89169484 AEN list -0.397623
m89169489 AEN list -0.093584
m89169495 AEN list -1.504682
m89169500 AEN list -0.709202
m89169507 AEN list 1.658203
m89169544 AEN list -0.345879
p89169516 AEN list -1.560313
p89169534 AEN list -2.552505
